id,first_name,last_name,start_date,end_date,employment_type,region,area,function,business unit
05608bf7-a717-4ac4-81f1-e8493b50e316,Tory,Micallef,14 May 2020,,Full-Time,Philippines,Baquero Norte,Product Management,n/a
4a89eaf0-c602-4d5f-a5ad-447e94a886a7,Thayne,Mattheus,29 August 2019,,Full-Time,Philippines,Bolaoit,Sales,Energy
1d1a1f97-3077-4bd9-9394-ebc87bccfdb0,Kalila,Keggins,01 October 2020,,Full-Time,Philippines,Minanga Norte,Research and Development,Consumer Services
2839926c-edb0-43b2-8874-a421c93f169d,Erminie,Doggrell,28 December 2020,,Full-Time,Philippines,Magallon Cadre,Research and Development,Consumer Non-Durables
c99bac06-a361-407e-84a4-4531913433cb,Vinny,McQuade,19 July 2019,,Full-Time,Philippines,Salimbalan,Research and Development,Capital Goods
1911a0bb-0483-4423-aa14-aacead802c52,Renault,Farres,29 August 2020,,Full-Time,Philippines,Santa Marcela,Training,Finance
b2c11656-841c-421b-b3da-d1cc213c960d,Edi,Offord,25 February 2020,,Full-Time,Philippines,Cabangan,Accounting,Consumer Services
af3361ef-468f-44b4-9000-0a088a171564,Kellyann,Andrysiak,11 October 2020,,Full-Time,Philippines,Danao,Accounting,Finance
1ca46616-b2d0-4c40-ad7b-68c96b938bd3,Delaney,Yeude,08 January 2021,,Full-Time,Philippines,Barra,Support,Capital Goods
68bb6baf-2444-4f7c-9f89-9ebcfc98bc09,Gail,Penvarden,09 March 2020,,Full-Time,Philippines,Lurugan,Marketing,n/a
5603bb6b-5eca-48bb-99e6-078057a9f930,Genny,Sybe,19 May 2020,,Full-Time,Philippines,Lapuyan,Accounting,Basic Industries
87154988-0000-46cf-83ef-86984674baff,Bunny,Droogan,08 November 2018,,Full-Time,Philippines,Kauswagan,Support,Health Care
609e536b-f332-425c-a450-50451927a157,Carey,Darth,28 March 2019,,Full-Time,Philippines,Lacdayan,Research and Development,Finance
8e3fbc62-c1b9-4d23-8f6f-d1ab3c1ee191,Maighdiln,Greenless,30 March 2019,,Full-Time,Philippines,Okiot,Research and Development,Technology
0ea73513-6f3d-462b-afd2-7a013b87804a,Derward,Edlin,09 April 2020,,Full-Time,Philippines,Amucao,Business Development,Public Utilities
26340f81-30cc-4bfa-8ab7-696cbfe7506e,Clem,Daenen,21 May 2019,,Full-Time,Philippines,Bitanjuan,Accounting,Health Care
de72732b-6339-4e99-af33-cfd9469b2182,Wilona,Workes,13 December 2020,,Full-Time,Philippines,Masantol,Sales,Capital Goods
7c0d6e82-dca2-4009-95b6-94901f260024,Minni,Vondracek,05 May 2019,,Full-Time,Philippines,Tarusan,Services,Finance
707d4a47-f7cd-4300-bd56-f2214fd57ff9,Camille,Vaughten,15 June 2020,,Full-Time,Philippines,Malbug,Legal,Public Utilities
